NAME;PRICE;FACULTY;CREDITS;DESCRIPTION;PLACES;SCHEDULE;CAMPUS
Audiovisual Systems Engineering;€1,248.52;Engineering School;240;"The main objective of this bachelor's degree programme is to produce versatile, flexible, creative, competitive professionals capable of conceiving and designing audio, video and multimedia systems, working with specialists in related technologies, and making decisions on technological matters on the basis of cost, quality, safety, time and respect for the principles of their trade.
The programme's graduates will be able to tackle the most technical side of audiovisual systems engineering, as well as to carry out managerial activities in organizations and to work for public authorities. They will be fully aware, at all times, of their profession's human, economic, social, legal and ethical aspects.";55;Part;Poblenou
Telecommunications Network Engineering;€1,248.52;Engineering School;240;"The main objective of the Telecommunicatios Network Engineering Degree is to train multi-skilled, flexible, creative and competitive professionals, able to conceive and design, manage and operate multimedia networks, protocols and services, to co-operate with professionals working in related technologies and to take technological decisions based on criteria of cost, quality, safety, time and respect for the principles of the profession.
The Telecommunicatios Network Engineering Degree is structured in two areas: first, it provides basic and sound training in telecommunications engineering and telematics for a subsequent professional career and second, it focuses on digital communication, an aspect which is broadened with the opportunity to take optional tracks focusing on audiovisual systems, software engineering and business management and innovation.
The aim is therefore to provide firmly-grounded training, with innovations, and training applied to new telematic services, multimedia content and digital audiovisuals. The interdisciplinary environment, the relationship with business and the international and research dimensions are essential features of this course.";40;Part;Poblenou
Mathematical Engineering in Data Science;€1,248.52;Engineering School;240;"The new degree on Mathematical Engineering in Data Science from the Pompeu Fabra University is designed for talented mathematicians who are interested in pursuing sophisticated theory relevant to modern application domains requiring large-scale data analysis.
This degree provides, on the one hand, the fundamental skills that allow to process and organize large-scale volumes of information automatically. On the other hand, it provides the required statistical and machine learning tools to extract information from these data and to help in the decision making process.
It proposes a solid training in mathematics and computer science that the student can extend to different types of data such as natural language, images, video, audio or music, as well as in those knowledge specific areas that use of massive data, such as personalised medicine, social network analysis, logistics or business, among others. Finally, it will be possible to delve into the mathematical techniques that are very promising in current research in data science.";40;Part;Poblenou
Global Studies;€1,202.32;Humanities Department;180;"The degree course is intended for students from all over the world interested in understanding the cultural, economic, legal, environmental, political, social, and technological phenomena that affect us regardless of our precise geographical location, the understanding of which requires a transdisciplinary approach and a comprehensive view of human beings.
The academic, scientific, and professional interest of this course lies in five key factors. Firstly, the fact that there are more and more deeply important challenges and threats of a universal scope that can only be managed and/or resolved effectively if they are considered simultaneously and synchronously by the relevant actors at the local, national, regional, and global levels. Secondly, the conviction that the dimension and depth of these challenges and threats have helped to crystallize a truly global society for the first time in human evolution. Thirdly, and in line with the previous factors, the need for transdisciplinary and interprofessional programmes focused specifically on describing, explaining, analysing, and understanding the complex phenomenon of globalization and global problems. Fourthly, the inadequacy or limitations of some of the existing study programmes that, while echoing the importance of globalization, adopt a limited interdisciplinary focus or concentrate on only one of the dimensions of this new global reality, thus limiting both its understanding and students’ training for extracting the maximum benefits from its potential and advantages and for facing the challenges and threats that come with it. Lastly, the conviction that the solution of humanity’s global problems and challenges involves studying, understanding, and reconciling, from a humanistic perspective, the mentalities, ideologies, and particular visions of the world with which they are perceived locally in the planet’s different regions.";70;Full;Ciutadella
Humanities;€1,202.32;Humanities Department;240;"The Humanities degree in Pompeu Fabra University was created in order to rebuild the bridges between the various humanistic degrees (philosophy, philology, art, and history), which address separately the complexity of human nature, and create experts in establishing connections between the different knowledge areas, whil recovering the pure humanistic spirits.
Therefore, it is a degree with an interdisciplinary viewpoint, which includes subjects about different languages and literatures, history, art history, and thought, with a clear transversalist vocation: its objective is to reach the knowledge of humans as individuals and as a society. We want graduates entirely implied in the current world: more than ever our society needs professionals that are able to face our daily social and cultural challenges, from an approach that can integrate different points of view in a constant conversation. ";170;Part;Ciutadella
International Business Economics;€1,202.32;School of Economics and Business;240;"The objective of UPF's bachelor's degree programme in International Business Economics is to give its graduates a special ability to interrelate content, methods and perspectives on the complexity stemming from business and economics in a multicultural context, in response to the need for qualified individuals capable of drawing on well developed analytical skills and a comprehensive international outlook to meet the challenges of business management and administration.
The programme provides students with the knowledge of economics and the skills required to manage the different areas of activity of a business, be it a multinational or a SME.";90;Full;Ciutadella
Applied Languages;€1,285.44;Transaltion and Language Sciences Academic Coordination Unit;240;"The bachelor's degree in Applied Languages aims to give linguistics and language professionals the competences needed to meet the demands of companies and institutions whose activity requires experts in the different language applications. Hence, the programme has two components: firstly, it is aimed at the development of communication skills and mastery of languages; secondly, it seeks to provide knowledge of the human capacity for language and the relationships that exist between language, discourse, culture, society and technology, with the ultimate aim of applying this knowledge to solving problems in a diverse range of professional settings. This, therefore, is a degree which combines a theoretical perspective with an applied and vocational approach.";60;Afternoon;Poblenou
Medicine;1.248,52;Faculty of Health and Life Sciences;360;"The bachelor’s degree in Medicine at the UPF trains doctors who combine high-quality scientific knowledge and critical thinking skills with the capacity to adapt, learn and progress in their career in the most diverse environments. They also understand their patients and their suffering, empathising with them so that they can assist them during the process of their illness and, if possible, help them to return to full health.
The aim of this degree is to provide students with first-class scientific, clinical and humanistic training, while helping them to develop the intellectual and behavioural skills necessary to progress in their profession in a change and diverse environment.";64;Full;Mar
Journalism;€1,285.44;Faculty of Communcation;240;"This bachelor's degree programme is geared to the professional practice of journalism, regarded as an activity that chiefly consists of generating topical information products and is thus clearly different from other activities related to social communication.
The programme's fundamental objective is to produce journalists capable of working in any medium. That entails preparing future graduates to adapt to the changes, in terms of both social uses and technology, liable to take place in the communication arena. The programme also aims to encourage students to engage in thorough reflection on journalism as a professional activity that should be a guarantee of democracy, good citizenship and social cohesion.";80;Full;Poblenou
Advertising and Public Relations;€1,285.44;Faculty of Communcation;240;"As part of the interrelationship between communication, business, society and culture, the advertising and public relations sector is tremendously important in economic and social terms.
The objective of UPF's bachelor's degree programme in Advertising and Public Relations is to produce professionals who are highly rigorous and creative, and capable of effectively meeting the needs of the aforementioned sector, which is ever-growing, dynamic and characterized by constant innovation.";80;Part;Poblenou
Labour Relations;€1,202.32;Faculty of Law;240;"UPF's bachelor's degree programme in Labour Relations teaches students to manage many aspects of the discipline, including legal, labour and tax consultancy services; defending people in labour litigation; people management and staff recruitment; occupational hazard prevention; equality in the workplace; and mediating between employers and employees.";180;Part;Ciutadella
Translation and Interpretation;€1,266.98;Transaltion and Language Sciences Academic Coordination Unit;240;The bachelor’s degree in Translation and Interpreting has been redesigned to respond to the needs of professionals in translation and language mediation services —including Catalan Sign Language—, as well as language teaching and research in these areas, both for the private sector (multinationals, cultural and creative industries) and for the public sector (international governments and bodies). Roughly 70% of our graduates find their first job in fewer than three months after completing their studies (2017 data from the Catalan university system’s data portal, EUC).;85;Morning;Poblenou
